Name,Slug,GiveReady Profile,Tagline,Country,City,Website,Donation URL,Contact Email,Founded,Causes
Kappa Youth And Community Development Foundation,kappa-youth-and-community-development-foundation,https://giveready.org/api/nonprofits/kappa-youth-and-community-development-foundation,,United States,,,https://www.every.org/kappa-youth-and-community-development-foundation#/donate,,,"Community Development,Youth Empowerment"
Kids Music Education,kids-music-education,https://giveready.org/api/nonprofits/kids-music-education,,United States,,,https://www.every.org/kids-music-education#/donate,,,"Music Education,Youth Empowerment"
Las Vegas Youth Arts Music & Education Inc,las-vegas-youth-arts-music-education-inc,https://giveready.org/api/nonprofits/las-vegas-youth-arts-music-education-inc,,United States,,,https://www.every.org/las-vegas-youth-arts-music-and-education-inc#/donate,,,"Music Education,Youth Empowerment"
Liahona Youth Empowerment,liahona-youth-empowerment,https://giveready.org/api/nonprofits/liahona-youth-empowerment,,United States,,,https://www.every.org/liahona-youth-empowerment#/donate,,,Youth Empowerment
Lily Baptist Community Outreach Center And Youth Development Inc,lily-baptist-community-outreach-center-and-youth-development-inc,https://giveready.org/api/nonprofits/lily-baptist-community-outreach-center-and-youth-development-inc,,United States,,,https://www.every.org/lily-baptist-community-outreach-center-and-youth-development-inc#/donate,,,"Community Development,Youth Empowerment"
Litchfield Community Youth Development Program,litchfield-community-youth-development-program,https://giveready.org/api/nonprofits/litchfield-community-youth-development-program,,United States,,,https://www.every.org/litchfield-community-youth-development-program#/donate,,,"Community Development,Youth Empowerment"
Mario Youth Community Development Center,mario-youth-community-development-center,https://giveready.org/api/nonprofits/mario-youth-community-development-center,,United States,,,https://www.every.org/mario-youth-community-development-center#/donate,,,"Community Development,Youth Empowerment"
Mental Health In Youth Corp,mental-health-in-youth-corp,https://giveready.org/api/nonprofits/mental-health-in-youth-corp,,United States,,,https://www.every.org/mental-health-in-youth-corp#/donate,,,"Mental Health,Youth Empowerment"
Mission Community And Youth Development Organization Inc,mission-community-and-youth-development-organization-inc,https://giveready.org/api/nonprofits/mission-community-and-youth-development-organization-inc,,United States,,,https://www.every.org/mission-community-and-youth-development-organization-inc#/donate,,,"Community Development,Youth Empowerment"
Moor House Youth And Community Development Center Inc,moor-house-youth-and-community-development-center-inc,https://giveready.org/api/nonprofits/moor-house-youth-and-community-development-center-inc,,United States,,,https://www.every.org/moor-house-youth-and-community-development-center-inc#/donate,,,"Community Development,Youth Empowerment"
Mt Moriah East Housing Youth And Community Development,mt-moriah-east-housing-youth-and-community-development,https://giveready.org/api/nonprofits/mt-moriah-east-housing-youth-and-community-development,,United States,,,https://www.every.org/mt-moriah-east-housing-youth-and-community-development#/donate,,,"Community Development,Youth Empowerment"
Mt Moriah Youth Community Development Inc,mt-moriah-youth-community-development-inc,https://giveready.org/api/nonprofits/mt-moriah-youth-community-development-inc,,United States,,,https://www.every.org/mt-moriah-youth-community-development-inc#/donate,,,"Community Development,Youth Empowerment"
Music & Art For Youth,music-art-for-youth,https://giveready.org/api/nonprofits/music-art-for-youth,,United States,,,https://www.every.org/music-and-art-for-youth#/donate,,,"Music Education,Youth Empowerment"
Music & Arts Program For Youth,music-arts-program-for-youth,https://giveready.org/api/nonprofits/music-arts-program-for-youth,,United States,,,https://www.every.org/music-and-arts-program-for-youth#/donate,,,"Music Education,Youth Empowerment"
Music for Youth,music-for-youth,https://giveready.org/api/nonprofits/music-for-youth,,United States,,,https://www.every.org/music-for-youth#/donate,,,"Music Education,Youth Empowerment"
Musical Arts For Youth Development And Education,musical-arts-for-youth-development-and-education,https://giveready.org/api/nonprofits/musical-arts-for-youth-development-and-education,,United States,,,https://www.every.org/musical-arts-for-youth-development-and-education#/donate,,,"Music Education,Youth Empowerment"
National Youth Empowerment,national-youth-empowerment,https://giveready.org/api/nonprofits/national-youth-empowerment,,United States,,,https://www.every.org/national-youth-empowerment#/donate,,,Youth Empowerment
Neighborhood Youth Community Development,neighborhood-youth-community-development,https://giveready.org/api/nonprofits/neighborhood-youth-community-development,,United States,,,https://www.every.org/neighborhood-youth-community-development#/donate,,,"Community Development,Youth Empowerment"
New Wave Dance Youth And Community Development Inc,new-wave-dance-youth-and-community-development-inc,https://giveready.org/api/nonprofits/new-wave-dance-youth-and-community-development-inc,,United States,,,https://www.every.org/new-wave-dance-youth-and-community-development-inc#/donate,,,"Community Development,Youth Empowerment"
Northwest Ohio Outdoor Youth Education,northwest-ohio-outdoor-youth-education,https://giveready.org/api/nonprofits/northwest-ohio-outdoor-youth-education,,United States,,,https://www.every.org/northwest-ohio-outdoor-youth-education#/donate,,,"Adventure & Travel,Youth Empowerment"
Nustyle Youth Entrepreneurship Program,nustyle-youth-entrepreneurship-program,https://giveready.org/api/nonprofits/nustyle-youth-entrepreneurship-program,,United States,,,https://www.every.org/nustyle-youth-entrepreneurship-program#/donate,,,"Entrepreneurship,Youth Empowerment"
Omega Youth & Community Development Foundation Inc,omega-youth-community-development-foundation-inc,https://giveready.org/api/nonprofits/omega-youth-community-development-foundation-inc,,United States,,,https://www.every.org/omega-youth-and-community-development-foundation-inc#/donate,,,"Community Development,Youth Empowerment"
Outdoor Youth Connections,outdoor-youth-connections,https://giveready.org/api/nonprofits/outdoor-youth-connections,,United States,,,https://www.every.org/outdoor-youth-connections#/donate,,,"Adventure & Travel,Youth Empowerment"
Outdoor Youth Exploration Academy,outdoor-youth-exploration-academy,https://giveready.org/api/nonprofits/outdoor-youth-exploration-academy,,United States,,http://outdooryouth.org,https://www.every.org/outdooryouth#/donate,,,"Adventure & Travel,Youth Empowerment"
Pamlico Youth Development Community Organization Inc,pamlico-youth-development-community-organization-inc,https://giveready.org/api/nonprofits/pamlico-youth-development-community-organization-inc,,United States,,,https://www.every.org/pamlico-youth-development-community-organization-inc#/donate,,,"Community Development,Youth Empowerment"
Park City Outdoor Education,park-city-outdoor-education,https://giveready.org/api/nonprofits/park-city-outdoor-education,,United States,,,https://www.every.org/park-city-outdoor-education#/donate,,,"Adventure & Travel,Youth Empowerment"
Perico Institute For Youth Developement & Entrepreneurship,perico-institute-for-youth-developement-entrepreneurship,https://giveready.org/api/nonprofits/perico-institute-for-youth-developement-entrepreneurship,,United States,,,https://www.every.org/perico-institute-for-youth-developement-and-entrepreneurship#/donate,,,"Entrepreneurship,Youth Empowerment"
Pinckney Community Youth Development Initiative Foundation,pinckney-community-youth-development-initiative-foundation,https://giveready.org/api/nonprofits/pinckney-community-youth-development-initiative-foundation,,United States,,,https://www.every.org/pinckney-community-youth-development-initiative-foundation#/donate,,,"Community Development,Youth Empowerment"
Poiema Youth Center For Music & Creative Arts,poiema-youth-center-for-music-creative-arts,https://giveready.org/api/nonprofits/poiema-youth-center-for-music-creative-arts,,United States,,,https://www.every.org/poiema-youth-center-for-music-creative-arts#/donate,,,"Creative Arts,Youth Empowerment"
Powhatan Youth Wrestling and Community Development Incorporated,powhatan-youth-wrestling-and-community-development-incorporated,https://giveready.org/api/nonprofits/powhatan-youth-wrestling-and-community-development-incorporated,,United States,,,https://www.every.org/powhatan-youth-wrestling-and-community-development-incorporated#/donate,,,"Community Development,Youth Empowerment"
Premier Youth Empowerment Program Inc,premier-youth-empowerment-program-inc,https://giveready.org/api/nonprofits/premier-youth-empowerment-program-inc,,United States,,,https://www.every.org/premier-youth-empowerment-program-inc#/donate,,,Youth Empowerment
Project For Youth Entrepreneurship,project-for-youth-entrepreneurship,https://giveready.org/api/nonprofits/project-for-youth-entrepreneurship,,United States,,,https://www.every.org/project-for-youth-entrepreneurship#/donate,,,"Entrepreneurship,Youth Empowerment"
Questa Youth & Community Development,questa-youth-community-development,https://giveready.org/api/nonprofits/questa-youth-community-development,,United States,,,https://www.every.org/questa-youth-and-community-development#/donate,,,"Community Development,Youth Empowerment"
Refugee Youth And Adult Empowerment Initiative Inc,refugee-youth-and-adult-empowerment-initiative-inc,https://giveready.org/api/nonprofits/refugee-youth-and-adult-empowerment-initiative-inc,,United States,,,https://www.every.org/refugee-youth-and-adult-empowerment-initiative-inc#/donate,,,Youth Empowerment
Rising Youth Mental Health Inc,rising-youth-mental-health-inc,https://giveready.org/api/nonprofits/rising-youth-mental-health-inc,,United States,,,https://www.every.org/rising-youth-mental-health-inc#/donate,,,"Mental Health,Youth Empowerment"
Rize Youth Empowerment,rize-youth-empowerment,https://giveready.org/api/nonprofits/rize-youth-empowerment,,United States,,,https://www.every.org/rize-youth-empowerment#/donate,,,Youth Empowerment
Roderick L Young Foundation For Youth Music Education,roderick-l-young-foundation-for-youth-music-education,https://giveready.org/api/nonprofits/roderick-l-young-foundation-for-youth-music-education,,United States,,,https://www.every.org/roderick-l-young-foundation-for-youth-music-education#/donate,,,"Music Education,Youth Empowerment"
Sangrock Youth Empowerment Initiative,sangrock-youth-empowerment-initiative,https://giveready.org/api/nonprofits/sangrock-youth-empowerment-initiative,,United States,,,https://www.every.org/sangrock-youth-empowerment-initiative#/donate,,,Youth Empowerment
Southeast Youth And Community Development Alliance,southeast-youth-and-community-development-alliance,https://giveready.org/api/nonprofits/southeast-youth-and-community-development-alliance,,United States,,,https://www.every.org/southeast-youth-and-community-development-alliance#/donate,,,"Community Development,Youth Empowerment"
Sparks Youth Education Empowerment Program Inc,sparks-youth-education-empowerment-program-inc,https://giveready.org/api/nonprofits/sparks-youth-education-empowerment-program-inc,,United States,,,https://www.every.org/sparks-youth-education-empowerment-program-inc#/donate,,,Youth Empowerment
Spartans Youth Empowerment Inc,spartans-youth-empowerment-inc,https://giveready.org/api/nonprofits/spartans-youth-empowerment-inc,,United States,,,https://www.every.org/spartans-youth-empowerment-inc#/donate,,,Youth Empowerment
Speak Our Minds Ending The Youth Mental Health Crisis,speak-our-minds-ending-the-youth-mental-health-crisis,https://giveready.org/api/nonprofits/speak-our-minds-ending-the-youth-mental-health-crisis,,United States,,,https://www.every.org/speak-our-minds-ending-the-youth-mental-health-crisis#/donate,,,"Mental Health,Youth Empowerment"
Springboard - Youth Arts And Entrepreneurship Program,springboard-youth-arts-and-entrepreneurship-program,https://giveready.org/api/nonprofits/springboard-youth-arts-and-entrepreneurship-program,,United States,,,https://www.every.org/springboard-youth-arts-and-entrepreneurship-program#/donate,,,"Entrepreneurship,Youth Empowerment"
Stay Solid Youth Mental Behavioral Health Awareness Inc,stay-solid-youth-mental-behavioral-health-awareness-inc,https://giveready.org/api/nonprofits/stay-solid-youth-mental-behavioral-health-awareness-inc,,United States,,,https://www.every.org/stay-solid-youth-mental-behavioral-health-awareness-inc#/donate,,,"Mental Health,Youth Empowerment"
Step Today Youth Community Development Outreach Center,step-today-youth-community-development-outreach-center,https://giveready.org/api/nonprofits/step-today-youth-community-development-outreach-center,,United States,,,https://www.every.org/step-today-youth-community-development-outreach-center#/donate,,,"Community Development,Youth Empowerment"
Students & Youth In Leadership Entrepreneurship N Technology,students-youth-in-leadership-entrepreneurship-n-technology,https://giveready.org/api/nonprofits/students-youth-in-leadership-entrepreneurship-n-technology,,United States,,,https://www.every.org/students-youth-in-leadership-entrepreneurship-n-technology#/donate,,,"Entrepreneurship,Youth Empowerment"
Supporting Youth Participation Corporation,supporting-youth-participation-corporation,https://giveready.org/api/nonprofits/supporting-youth-participation-corporation,,United States,,,https://www.every.org/supporting-youth-participation-corporation#/donate,,,"Poverty Reduction,Youth Empowerment"
Swisher County Youth And Community Development,swisher-county-youth-and-community-development,https://giveready.org/api/nonprofits/swisher-county-youth-and-community-development,,United States,,,https://www.every.org/swisher-county-youth-and-community-development#/donate,,,"Community Development,Youth Empowerment"
Tallahassee Youth Mental Health Collective Incorporated,tallahassee-youth-mental-health-collective-incorporated,https://giveready.org/api/nonprofits/tallahassee-youth-mental-health-collective-incorporated,,United States,,,https://www.every.org/tallahassee-youth-mental-health-collective-incorporated#/donate,,,"Mental Health,Youth Empowerment"
Teach Kids Music,teach-kids-music,https://giveready.org/api/nonprofits/teach-kids-music,,United States,,,https://www.every.org/teach-kids-music#/donate,,,"Music Education,Youth Empowerment"
The Center For Youth And Community Development Inc,the-center-for-youth-and-community-development-inc,https://giveready.org/api/nonprofits/the-center-for-youth-and-community-development-inc,,United States,,,https://www.every.org/the-center-for-youth-and-community-development-inc#/donate,,,"Community Development,Poverty Reduction,Youth Empowerment"
The Wave Project,the-wave-project,https://giveready.org/api/nonprofits/the-wave-project,Surf therapy changing young lives,United Kingdom,Newquay,https://www.waveproject.co.uk,https://www.waveproject.co.uk/donate,info@waveproject.co.uk,2010,"Education,Mental Health,Surf Therapy,Youth Empowerment"
Touching Hearts Foundation Youths With Mental Health Corp,touching-hearts-foundation-youths-with-mental-health-corp,https://giveready.org/api/nonprofits/touching-hearts-foundation-youths-with-mental-health-corp,,United States,,,https://www.every.org/touching-hearts-foundation-youths-with-mental-health-corp#/donate,,,"Mental Health,Youth Empowerment"
Transforming Youth Music Education,transforming-youth-music-education,https://giveready.org/api/nonprofits/transforming-youth-music-education,,United States,,,https://www.every.org/transforming-youth-music-education#/donate,,,"Music Education,Youth Empowerment"
Triumph Youth And Adult Community Development Corporation,triumph-youth-and-adult-community-development-corporation,https://giveready.org/api/nonprofits/triumph-youth-and-adult-community-development-corporation,,United States,,,https://www.every.org/triumph-youth-and-adult-community-development-corporation#/donate,,,"Community Development,Youth Empowerment"
Triumph Youth Empowerment Organization,triumph-youth-empowerment-organization,https://giveready.org/api/nonprofits/triumph-youth-empowerment-organization,,United States,,,https://www.every.org/triumph-youth-empowerment-organization#/donate,,,Youth Empowerment
Upland Community Partnership For Youth Development Inc,upland-community-partnership-for-youth-development-inc,https://giveready.org/api/nonprofits/upland-community-partnership-for-youth-development-inc,,United States,,,https://www.every.org/upland-community-partnership-for-youth-development-inc#/donate,,,"Community Development,Youth Empowerment"
Urban Youth Empowerment,urban-youth-empowerment,https://giveready.org/api/nonprofits/urban-youth-empowerment,,United States,,,https://www.every.org/urban-youth-empowerment#/donate,,,Youth Empowerment
Wamufat Youth Community Development Foundation,wamufat-youth-community-development-foundation,https://giveready.org/api/nonprofits/wamufat-youth-community-development-foundation,,United States,,,https://www.every.org/wamufat-youth-community-development-foundation#/donate,,,"Community Development,Youth Empowerment"
We Help The Youth,we-help-the-youth,https://giveready.org/api/nonprofits/we-help-the-youth,,United States,,,https://www.every.org/we-help-the-youth#/donate,,,"Poverty Reduction,Youth Empowerment"
West African Youth And Community Development Inc,west-african-youth-and-community-development-inc,https://giveready.org/api/nonprofits/west-african-youth-and-community-development-inc,,United States,,,https://www.every.org/west-african-youth-and-community-development-inc#/donate,,,"Community Development,Youth Empowerment"
Westside Youth Recreation And Education Center,westside-youth-recreation-and-education-center,https://giveready.org/api/nonprofits/westside-youth-recreation-and-education-center,,United States,,,https://www.every.org/westside-youth-recreation-and-education-center#/donate,,,"Adventure & Travel,Youth Empowerment"
Women Networking With Children Youth Empowerment Services Inc,women-networking-with-children-youth-empowerment-services-inc,https://giveready.org/api/nonprofits/women-networking-with-children-youth-empowerment-services-inc,,United States,,,https://www.every.org/women-networking-with-children-youth-empowerment-services-inc#/donate,,,Youth Empowerment
YEScarolina  Youth Entrepreneurship in South Carolina,yescarolina-youth-entrepreneurship-in-south-carolina,https://giveready.org/api/nonprofits/yescarolina-youth-entrepreneurship-in-south-carolina,,United States,,http://yescarolina.com/#,https://www.every.org/yescarolina#/donate,hello@engagingcreativeminds.org,,"Entrepreneurship,Youth Empowerment"
Yes Youth Empowerment Services,yes-youth-empowerment-services,https://giveready.org/api/nonprofits/yes-youth-empowerment-services,,United States,,,https://www.every.org/yes-youth-empowerment-services#/donate,,,Youth Empowerment
York County Youth Mental Health Alliance,york-county-youth-mental-health-alliance,https://giveready.org/api/nonprofits/york-county-youth-mental-health-alliance,,United States,,,https://www.every.org/york-county-youth-mental-health-alliance#/donate,,,"Mental Health,Youth Empowerment"
Young Leaders In Music Education Inc,young-leaders-in-music-education-inc,https://giveready.org/api/nonprofits/young-leaders-in-music-education-inc,,United States,,,https://www.every.org/young-leaders-in-music-education-inc#/donate,,,"Music Education,Youth Empowerment"
Youth & Family Empowerment Services,youth-family-empowerment-services,https://giveready.org/api/nonprofits/youth-family-empowerment-services,,United States,,,https://www.every.org/youth-and-family-empowerment-services#/donate,,,Youth Empowerment
Youth Against Poverty And Crimes Inc,youth-against-poverty-and-crimes-inc,https://giveready.org/api/nonprofits/youth-against-poverty-and-crimes-inc,,United States,,,https://www.every.org/youth-against-poverty-and-crimes-inc#/donate,,,"Poverty Reduction,Youth Empowerment"
Youth Asian-American Mental Health Association,youth-asian-american-mental-health-association,https://giveready.org/api/nonprofits/youth-asian-american-mental-health-association,,United States,,,https://www.every.org/youth-asian-american-mental-health-association#/donate,,,"Mental Health,Youth Empowerment"
Youth Aspiring Bold Empowerment,youth-aspiring-bold-empowerment,https://giveready.org/api/nonprofits/youth-aspiring-bold-empowerment,,United States,,http://youthaspiringboldempowerment.org,https://www.every.org/youth-aspiring-bold-empowerment#/donate,,,Youth Empowerment
Youth Builder Community Development Corporation,youth-builder-community-development-corporation,https://giveready.org/api/nonprofits/youth-builder-community-development-corporation,,United States,,,https://www.every.org/youth-builder-community-development-corporation#/donate,,,"Community Development,Youth Empowerment"
Youth Camp Education,youth-camp-education,https://giveready.org/api/nonprofits/youth-camp-education,,United States,,,https://www.every.org/youth-camp-education#/donate,,,"Adventure & Travel,Youth Empowerment"
Youth Community Help Services Inc,youth-community-help-services-inc,https://giveready.org/api/nonprofits/youth-community-help-services-inc,,United States,,,https://www.every.org/youth-community-help-services-inc#/donate,,,"Poverty Reduction,Youth Empowerment"
Youth Community Project,youth-community-project,https://giveready.org/api/nonprofits/youth-community-project,,United States,,rsnnc.org,https://www.every.org/youth-community-project#/donate,youthfirst@rsnnc.org,,"Poverty Reduction,Youth Empowerment"
Youth Connect 4 Mental Health,youth-connect-4-mental-health,https://giveready.org/api/nonprofits/youth-connect-4-mental-health,,United States,,,https://www.every.org/youth-connect-4-mental-health#/donate,,,"Mental Health,Youth Empowerment"
